entry_ts,exit_ts,side,entry_price,exit_price,pnl,won,close_reason,ema9_ratio,ema21_ratio,ema50_ratio,ema200_ratio,rsi,stochrsi_k,stochrsi_d,macd_h_norm,adx,adx_dmp_norm,adx_dmn_norm,bb_pct,vol_ratio,atr_contracted,bull_engulf,bear_engulf,hammer,shooting_star,three_bull,three_bear,ms_bull,ms_bear,near_channel_top,near_channel_bot,hurst_acf1,bull_score,bear_score,net_score,regime_enc,htf_rsi,side_enc
2023-01-18 03:00:00,2023-01-18 10:45:00,LONG,21343.15,21180.0,-2.8,0,STOP_LOSS,0.9961915647108879,0.9955082811242988,0.9951384389428496,0.9880017030626058,59.885528017801484,99.40900914456081,91.61120078968602,0.20468978809632218,16.78973661459575,1.3184775177902341,0.634344691273665,0.5,1.3298935975060648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.2740685693531737,62,39,23,0,67.4,1
2023-01-18 13:30:00,2023-01-18 14:15:00,LONG,21322.96,21396.93,1.27,1,STOP_LOSS,0.9970125220587455,0.996411608495286,0.9964376384082331,0.9916221842949575,63.08430986596573,89.96064059252397,93.3070937283493,0.244515496000056,19.524002944444526,1.687664006930636,0.7067108308202004,0.5,7.396011485810328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2997698788728267,60,28,32,0,58.8,1
2023-01-19 13:30:00,2023-01-19 21:00:00,LONG,20773.54,21016.08,4.28,1,STOP_LOSS,0.998788494299545,0.9993460987852528,1.00076919446117,1.008238036066441,51.46100619279873,66.66666666666666,41.5771148081608,0.025743453648616094,18.02792961348078,1.008021011571318,1.194552057145933,0.5,2.440773185333564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22219743482239032,58,31,27,0,53.5,1
2023-01-20 02:15:00,2023-01-20 04:30:00,LONG,21169.01,21033.91,-2.35,0,STOP_LOSS,0.9968943138438858,0.9952532316106502,0.992001432360709,0.990356091976733,63.48087781551212,70.20152231070634,66.52011202728025,0.06580448885994711,19.13705252299847,1.5319362191878638,0.7292462527062842,0.5,1.5490926107123701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.12541102665230663,62,33,29,0,58.6,1
2023-01-20 12:30:00,2023-01-20 20:00:00,LONG,21073.36,21840.5,13.35,1,TAKE_PROFIT,0.9963287984856656,0.9955405549877243,0.9957472530069001,0.9952251749434258,66.77363061781152,99.99999999999999,97.88888514705012,0.4395524717367629,26.707432798822747,1.2384612913281672,0.7379692228179262,0.5,1.571496259965045,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.11348488246056401,62,32,30,0,59.4,1
2023-01-20 20:00:00,2023-01-20 21:00:00,LONG,21840.5,22213.4,6.34,1,STOP_LOSS,0.9835084222834927,0.9778109626084249,0.971282836847013,0.9638275004286988,88.14720091689907,74.98219193835178,55.00128281130473,0.2822270481232323,59.43648737392812,0.8848774239994026,0.048169252955193906,0.5,6.4269407010828115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.055290532999990205,62,24,38,0,80.6,1
2023-01-20 22:15:00,2023-01-21 10:15:00,LONG,22561.41,22795.22,3.87,1,STOP_LOSS,0.9854711370333081,0.9707147407869348,0.9545264539355032,0.9376668758812589,90.35353581697429,81.46511782346786,79.75197334288838,0.48079145518650374,76.27215155523511,0.7268219033495246,0.01432841972037084,0.5,2.150478198414174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15999752344116355,62,24,38,0,80.6,1
2023-01-23 10:00:00,2023-01-23 14:00:00,LONG,22855.0,22726.57,-2.11,0,STOP_LOSS,0.9962808754992535,0.9952784416387978,0.9949169077810175,0.9906348651800038,63.59575305226258,93.39689913054849,89.43503461540222,0.18947786438631928,13.032390023316472,2.3688818126483677,1.3435115676402247,0.5,2.321699317336769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04264338477782093,62,33,29,0,67.7,1
2023-01-23 16:00:00,2023-01-23 19:15:00,LONG,22876.09,22838.78,-0.61,0,STOP_LOSS,0.9979873511555226,0.9977131545852964,0.9967405444852762,0.991637545722167,54.82957476213551,73.29323223524624,69.84118936160174,0.013783640526682574,26.45265435188525,0.9693706255448669,0.3836446226341947,0.5,0.6932836453102504,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.04346562474935858,62,35,27,0,63.9,1
2023-01-24 01:45:00,2023-01-24 09:00:00,LONG,23084.46,22914.98,-2.75,0,STOP_LOSS,0.9957136515091894,0.9946658552547991,0.9929207629212707,0.986343888877336,64.05149977652215,65.87620215114212,66.08431346039666,0.08632208451008934,17.55980220764978,1.5610500002492396,1.3707102426425422,0.5,3.839563486961332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07698970556252104,62,21,41,0,68.8,1
2023-01-24 20:45:00,2023-01-24 22:00:00,LONG,23017.32,22895.11,-1.98,0,SENAL_BAJISTA,0.998311533448904,0.9975991481452099,0.9972595942379938,0.9939052418772722,56.56721560651029,40.91945386224987,45.291795615436904,0.01816274459859937,14.922573497238922,1.1483019991991181,1.208556777578274,0.5,1.302490026702092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.09648401128448207,62,35,27,0,52.2,1
