feature,shap_abs,rf_importance
htf_rsi,0.0531480826062508,0.22019403052618763
ema200_ratio,0.015440049302618601,0.08411309797081136
adx_dmp_norm,0.009762780303696454,0.05924430783338761
hurst_acf1,0.0095003127370351,0.05928519550282847
bear_score,0.00731371294917784,0.034320674347739256
adx,0.007206626639716346,0.05353147052858442
vol_ratio,0.006560637113971509,0.04928891306693428
stochrsi_d,0.00590933459501777,0.04780867006537109
stochrsi_k,0.004905331005166797,0.03973057080637285
ema50_ratio,0.004678708456442084,0.04954806828140931
adx_dmn_norm,0.004585889325306566,0.04454762245184912
net_score,0.004214147821397848,0.035945805417076655
macd_h_norm,0.004160722979440967,0.043054491039407755
bull_score,0.0034831561224706116,0.02728431234404199
ema9_ratio,0.00328270295168918,0.043499086791294495
ema21_ratio,0.0031958025081951077,0.04034612519807901
rsi,0.0031125838742026395,0.04180223705353778
side_enc,0.0015318688840280218,0.0031989635121972494
ms_bear,0.0012867953135137628,0.004496536418170515
regime_enc,0.00095695142952835,0.004886527516637335
ms_bull,0.0008931945118723923,0.004979998949746926
three_bull,0.00047063562206126427,0.0026025407094608984
three_bear,0.0003725988777705792,0.0031468523697266364
near_channel_bot,0.00019429502043356278,0.001007193871927769
near_channel_top,0.00016807006528829298,0.0015236303788607767
shooting_star,9.827974261030467e-05,0.00035841334043534124
hammer,4.381463208111247e-05,0.0002546637079233815
bull_engulf,0.0,0.0
atr_contracted,0.0,0.0
bb_pct,0.0,0.0
bear_engulf,0.0,0.0
